player_id,name,TOTspectators
212035,Si Qi Liu,139509
221296,Yiwendan Zhu,7431
221329,Likhitha Kalava,77326
201377,Yuliya Beygelzimer,47159
122644,Sander Arends,35492
105156,Federico Zeballos,210989
213979,Camille Maisonnave,1706
220549,Anika Yarlagadda,2623
223055,Shakhnoza Jabarova,2480
215239,Diana Maria Mihail,257998
138051,Socrates Leon Tsoronis,3290
202661,Lucy Brown,16196
215111,Joanne Zuger,486132
215219,Kaja Juvan,914909
214372,Daniela Vukovic,92572
215791,Eden Richardson,28099
200234,Joshua Peck,54711
208015,Tom Evans,14139
222912,Linda Canteri,10227
200562,Anirudh Chandrasekar,29562
200677,Rio Noguchi,128263
222957,Eda Arli,24684
200597,Andres Ariel Fernandez Lopez,7168
215392,Judith Van Kessel,21125
202495,Jennifer Elie,614787
212021,Yuenu Li,65644
221985,Darja Semenistaja,149207
106187,Denis Yevseyev,520872
214885,Meritxell Perera Ros,187825
213609,Varunya Chandrashekar,5881
213860,Ana Roman Dominguez,45697
201582,Jing Jing Lu,547147
202691,Ani Vangelova,750859
105880,Filipe Brandao,7572
223111,Anna Protsenko,4030
214852,Martina Husarova,16638
220638,Nadja Bay Christians,46849
215544,Gabriella Akopian,34169
209996,Alessia Bianchi,17899
217993,Alicia Robinson,14506
214299,Lucie Wargnier,409874
213806,Gabriela Aura Zarnoveanu,165064
223382,Mar Pi Vilanova,3095
104905,Nicolas Barrientos,261106
103863,Mikhail Elgin,194471
222664,Laura Mulero Parraga,3709
111197,Jonathan Mridha,103111
223063,Katerina Petrova,17428
215468,Momoko Kobori,549390
221320,Sophia Unger,9433
214496,Lee Barnard,10304
214010,Victoria Ocheva,14058
108717,Francis Casey Alcantara,13279
105163,Gleb Sakharov,714987
211408,Kerstin Peckl,337570
216053,Shura Poppe,2113
215582,Kateryna Popova,29280
220348,Diane Parry,493154
213897,Maria Silva,24935
206418,Imane Maelle Kocher,26503
202620,Yuliya Kalabina,21125
104947,Marsel Ilhan,300721
223673,Mariam Eltaweel,10325
221434,Aliona Falei,33742
215430,Holly Hutchinson,17169
223074,Qavia Lopez,19038
201529,Kristie Ahn,1362855
104963,Yannick Mertens,423185
215778,Emma Lene,445242
104235,Matwe Middelkoop,55239
222135,Elva Andrea Brindis Sanchez,14874
237475,Login Khairy,16869
144650,Rhett Purcell,13879
220943,Johanna Strom,25721
222463,Maria Alejandra Sandoval Espinoza,2853
205969,Yana Sizikova,578578
222784,Chhinda Som,8628
105302,Ante Pavic,576140
220873,Chanel Scudiero,2910
216391,Helen Abigail Altick,12806
133764,Kevin Portmann,2658
215185,Zhou Mingjun,57059
117360,Marc Polmans,1361111
221898,Jasmina Stoppel,8268
215831,Mylene Halemai,192111
126094,Andrey Rublev,2135286
105557,Gibril Diarra,100636
126151,Pavel Nejedly,210362
221263,Alexia Josefina Romero,3159
144696,Zihao Xia,315795
213791,Kamilla Bolatova,41709
222423,Pia Schwarz,5156
144821,Genaro Alberto Olivieri,187694
221678,Le Yi Liu,5972
222169,Gemma Negre Sanchez,10620
220655,Yuzuka Shimizu,2734
223207,Dora Olgungul,74429
215790,Alexandra Sanford,57795
215014,Rosie Cheng,2007
215388,Sandra Bozinovic,39031
221426,Mariana Caicedo Mora,3763
211959,Ksenija Sharifova,117125
205831,Isabella Robbiani,23670
105917,Gianni Mina,103488
222652,Sofia Magaly Sanchez,15739
204424,Hayley Carter,108373
206205,Min Liu,6803
213948,Dabin Kim,501194
206091,Yolande Leacock,56723
222648,Krystal Blanch,46929
211148,Jasmine Paolini,1283753
223039,Martine Gaasch Van Hemelryck,2480
220835,Isabela Barona Estrada,8797
216107,Ella Haavisto,24504
222253,Martina Muzzolon,28315
221513,Valentina Taddia,9976
213804,Marie Leduc,42747
202366,Tadeas Paroulek,15055
206705,Max Stewart,3226
216311,Ingrid Carolina Millan,11060
211601,Lucia Zelenka,50038
223400,Leire De Ezcurra,39967
221854,Savini Jayasuriya,192
106382,Luke Bambridge,224697
108982,Yasir Khan,598
225854,Carmen Lopez Martinez,22693
220697,Anfisa Danilchenko,155491
206096,Viktoriya Lushkova,3441
201287,Maria Jose Martinez Sanchez,65936
208214,Arnaud Bovy,3312
222603,Alexandra Raluca Botin,16679
206391,Ellen Perez,817185
223307,Elizaveta Morozova,50537
213870,Alija Merdeeva,114592
215657,Kelia Le Bihan,420866
215458,Julia Fisch,26459
215977,Julia Kapitanova,4905
216577,Ginevra Chiara,2931
132437,Logan Smith,24364
126574,Daniel Hobart,22595
200253,Alejandro Hoyos Franco,3794
206217,Andjela Novcic,57592
